Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Task records where status is Director, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""status"": ""Director""}, fields=[""subject"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",169,Complex,"Can you fetch the first 20 Task records where status is Director, sorted by transaction_date in descending order, starting from the 10th record."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get all Task records submitted after 2023-01-01.,"frappe.get_list(""Task"", filters={""creation"": ["">"", ""2023-01-01""]})",66,Medium,Get all Task records submitted after 2023-01-01.
Find all Stock Entry records placed between 2023-01-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""status"", ""between"", [""2023-01-01"", ""2023-12-31""})",91,Medium,Find all Stock Entry records placed between 2023-01-01 and 2023-12-31 (both inclusive).
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Sales Order records where status is Manager, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""status"": ""Manager""}, fields=[""transaction_date"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",162,Complex,"Can you fetch the first 20 Sales Order records where status is Manager, sorted by count in descending order, starting from the 10th record."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
"Retrieve the first 20 Sales Order records where status is Director, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""status"": ""Director""}, fields=[""transaction_date"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",169,Complex,"Can you fetch the first 20 Sales Order records where status is Director, sorted by priority in descending order, starting from the 10th record."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Employee records where count is Director, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""count"": ""Director""}, fields=[""subject"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",152,Complex,"Can you fetch the first 20 Employee records where count is Director, sorted by status in descending order, starting from the 10th record."
"Retrieve the first 20 Sales Order records where status is Director, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""status"": ""Director""}, fields=[""designation"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",158,Complex,"Can you fetch the first 20 Sales Order records where status is Director, sorted by count in descending order, starting from the 10th record."
Find all Task records placed between 2022-04-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""status"", ""between"", [""2022-04-01"", ""2023-03-31""})",84,Medium,Find all Task records placed between 2022-04-01 and 2023-03-31 (both inclusive).
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Sales Order records where transaction_date is Lead, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""transaction_date"": ""Lead""}, fields=[""status"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",165,Complex,"Can you fetch the first 20 Sales Order records where transaction_date is Lead, sorted by priority in descending order, starting from the 10th record."
"Retrieve the first 20 Stock Entry records where subject is Lead, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""subject"": ""Lead""}, fields=[""designation"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",177,Complex,"Can you fetch the first 20 Stock Entry records where subject is Lead, sorted by transaction_date in descending order, starting from the 10th record."
"Retrieve a list of all Expense Claim records where creation is Approved, fetching subject and status, sorted by status in descending order.","frappe.get_list(""Expense Claim"", filters={""creation"": ""Approved""}, fields=[""subject"", ""status""], order_by=""status desc"")",120,Medium,"Can you fetch a list of all Expense Claim records where creation is Approved, fetching subject and status, sorted by status in descending order."
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Sales Order records where transaction_date is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""transaction_date"": ""Lead""}, fields=[""subject"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",162,Complex,"Can you fetch the first 20 Sales Order records where transaction_date is Lead, sorted by status in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Find all Stock Entry records where count contains Manager.,"frappe.get_list(""Stock Entry"", filters={""count"": [""like"", ""%Manager%""]})",72,Medium,Find all Stock Entry records where count contains Manager.
Find all Employee records placed between 2024-01-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""count"", ""between"", [""2024-01-01"", ""2024-12-31""})",87,Medium,Find all Employee records placed between 2024-01-01 and 2024-12-31 (both inclusive).
"Retrieve a list of all Leave Application records where creation is Approved, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Leave Application"", filters={""creation"": ""Approved""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",135,Complex,"Can you fetch a list of all Leave Application records where creation is Approved, fetching date_submitted and creation, sorted by creation in descending order."
"Retrieve the first 20 Sales Order records where count is Supervisor, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""count"": ""Supervisor""}, fields=[""status"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",176,Complex,"Can you fetch the first 20 Sales Order records where count is Supervisor, sorted by transaction_date in descending order, starting from the 10th record."
Find all Purchase Order records where priority contains Lead.,"frappe.get_list(""Purchase Order"", filters={""priority"": [""like"", ""%Lead%""]})",75,Medium,Find all Purchase Order records where priority contains Lead.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
"Retrieve the first 20 Task records where subject is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""subject"": ""Lead""}, fields=[""priority"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",147,Complex,"Can you fetch the first 20 Task records where subject is Lead, sorted by status in descending order, starting from the 10th record."
"Retrieve a list of all Expense Claim records where creation is Approved, fetching status and subject, sorted by subject in descending order.","frappe.get_list(""Expense Claim"", filters={""creation"": ""Approved""}, fields=[""status"", ""subject""], order_by=""subject desc"")",121,Complex,"Can you fetch a list of all Expense Claim records where creation is Approved, fetching status and subject, sorted by subject in descending order."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve a list of all Timesheet records where date_submitted is Open, fetching subject and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Timesheet"", filters={""date_submitted"": ""Open""}, fields=[""subject"", ""date_submitted""], order_by=""date_submitted desc"")",134,Complex,"Can you fetch a list of all Timesheet records where date_submitted is Open, fetching subject and date_submitted, sorted by date_submitted in descending order."
"Retrieve the first 20 Stock Entry records where priority is Director, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Director""}, fields=[""transaction_date"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",167,Complex,"Can you fetch the first 20 Stock Entry records where priority is Director, sorted by status in descending order, starting from the 10th record."
"Retrieve the first 20 Task records where transaction_date is Supervisor, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""transaction_date"": ""Supervisor""}, fields=[""status"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",162,Complex,"Can you fetch the first 20 Task records where transaction_date is Supervisor, sorted by subject in descending order, starting from the 10th record."
"Retrieve a list of all Timesheet records where date_submitted is Pending, fetching subject and subject, sorted by subject in descending order.","frappe.get_list(""Timesheet"", filters={""date_submitted"": ""Pending""}, fields=[""subject"", ""subject""], order_by=""subject desc"")",123,Complex,"Can you fetch a list of all Timesheet records where date_submitted is Pending, fetching subject and subject, sorted by subject in descending order."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Find all Purchase Order records placed between 2022-04-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""designation"", ""between"", [""2022-04-01"", ""2023-03-31""})",99,Medium,Find all Purchase Order records placed between 2022-04-01 and 2023-03-31 (both inclusive).
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Stock Entry records where count is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""count"": ""Supervisor""}, fields=[""subject"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",161,Complex,"Can you fetch the first 20 Stock Entry records where count is Supervisor, sorted by priority in descending order, starting from the 10th record."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Find all Stock Entry records where subject contains Director.,"frappe.get_list(""Stock Entry"", filters={""subject"": [""like"", ""%Director%""]})",75,Medium,Find all Stock Entry records where subject contains Director.
Find all Purchase Order records placed between 2024-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""count"", ""between"", [""2024-01-01"", ""2024-06-30""})",93,Medium,Find all Purchase Order records placed between 2024-01-01 and 2024-06-30 (both inclusive).
"Retrieve a list of all Issue records where subject is Approved, fetching status and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Issue"", filters={""subject"": ""Approved""}, fields=[""status"", ""date_submitted""], order_by=""date_submitted desc"")",126,Complex,"Can you fetch a list of all Issue records where subject is Approved, fetching status and date_submitted, sorted by date_submitted in descending order."
Find all Employee records placed between 2023-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""priority"", ""between"", [""2023-01-01"", ""2023-03-31""})",90,Medium,Find all Employee records placed between 2023-01-01 and 2023-03-31 (both inclusive).
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Find all Employee records placed between 2024-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""priority"", ""between"", [""2024-01-01"", ""2023-03-31""})",90,Medium,Find all Employee records placed between 2024-01-01 and 2023-03-31 (both inclusive).
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Stock Entry records where subject is Manager, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""subject"": ""Manager""}, fields=[""count"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",158,Complex,"Can you fetch the first 20 Stock Entry records where subject is Manager, sorted by priority in descending order, starting from the 10th record."
"Retrieve a list of all Timesheet records where creation is Approved, fetching creation and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Timesheet"", filters={""creation"": ""Approved""}, fields=[""creation"", ""date_submitted""], order_by=""date_submitted desc"")",133,Complex,"Can you fetch a list of all Timesheet records where creation is Approved, fetching creation and date_submitted, sorted by date_submitted in descending order."
"Retrieve the first 20 Stock Entry records where priority is Lead, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Lead""}, fields=[""transaction_date"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",165,Complex,"Can you fetch the first 20 Stock Entry records where priority is Lead, sorted by subject in descending order, starting from the 10th record."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Stock Entry records where status is Supervisor, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""status"": ""Supervisor""}, fields=[""transaction_date"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",167,Complex,"Can you fetch the first 20 Stock Entry records where status is Supervisor, sorted by status in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Task records where priority is Lead, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""priority"": ""Lead""}, fields=[""subject"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",145,Complex,"Can you fetch the first 20 Task records where priority is Lead, sorted by count in descending order, starting from the 10th record."
Find all Stock Entry records placed between 2022-04-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""transaction_date"", ""between"", [""2022-04-01"", ""2024-06-30""})",101,Medium,Find all Stock Entry records placed between 2022-04-01 and 2024-06-30 (both inclusive).
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Find all Task records placed between 2023-06-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Task"", filters={[""status"", ""between"", [""2023-06-01"", ""2024-06-30""})",84,Medium,Find all Task records placed between 2023-06-01 and 2024-06-30 (both inclusive).
Get a list of all Legal Settlement records.,"frappe.get_list(""Legal Settlement"", fields=[""name""])",52,Simple,Can you list all Legal Settlement records.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
"Retrieve the first 20 Task records where transaction_date is Lead, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""transaction_date"": ""Lead""}, fields=[""count"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",155,Complex,"Can you fetch the first 20 Task records where transaction_date is Lead, sorted by subject in descending order, starting from the 10th record."
Get only the supplier_name of all Customer records.,"frappe.get_list(""Customer"", pluck=""supplier_name"")",50,Simple,Get only the supplier_name of all Customer records.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Find all Task records where designation contains Lead.,"frappe.get_list(""Task"", filters={""designation"": [""like"", ""%Lead%""]})",68,Medium,Find all Task records where designation contains Lead.
"Retrieve the first 20 Task records where subject is Lead, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""subject"": ""Lead""}, fields=[""transaction_date"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",153,Complex,"Can you fetch the first 20 Task records where subject is Lead, sorted by count in descending order, starting from the 10th record."
"Retrieve the first 20 Sales Order records where count is Manager, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""count"": ""Manager""}, fields=[""status"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Sales Order records where count is Manager, sorted by priority in descending order, starting from the 10th record."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve a list of all Timesheet records where creation is Approved, fetching date_submitted and status, sorted by status in descending order.","frappe.get_list(""Timesheet"", filters={""creation"": ""Approved""}, fields=[""date_submitted"", ""status""], order_by=""status desc"")",123,Complex,"Can you fetch a list of all Timesheet records where creation is Approved, fetching date_submitted and status, sorted by status in descending order."
"Retrieve a list of all Task records where creation is Approved, fetching date_submitted and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Task"", filters={""creation"": ""Approved""}, fields=[""date_submitted"", ""date_submitted""], order_by=""date_submitted desc"")",134,Complex,"Can you fetch a list of all Task records where creation is Approved, fetching date_submitted and date_submitted, sorted by date_submitted in descending order."
"Retrieve a list of all Task records where subject is Open, fetching date_submitted and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Task"", filters={""subject"": ""Open""}, fields=[""date_submitted"", ""date_submitted""], order_by=""date_submitted desc"")",129,Complex,"Can you fetch a list of all Task records where subject is Open, fetching date_submitted and date_submitted, sorted by date_submitted in descending order."
"Retrieve the first 20 Purchase Order records where priority is Supervisor, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""priority"": ""Supervisor""}, fields=[""count"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",161,Complex,"Can you fetch the first 20 Purchase Order records where priority is Supervisor, sorted by status in descending order, starting from the 10th record."
"Retrieve a list of all Expense Claim records where subject is Pending, fetching subject and status, sorted by status in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Pending""}, fields=[""subject"", ""status""], order_by=""status desc"")",118,Medium,"Can you fetch a list of all Expense Claim records where subject is Pending, fetching subject and status, sorted by status in descending order."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Task records where subject is Supervisor, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""subject"": ""Supervisor""}, fields=[""status"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",149,Complex,"Can you fetch the first 20 Task records where subject is Supervisor, sorted by count in descending order, starting from the 10th record."
Find all Task records placed between 2023-06-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Task"", filters={[""priority"", ""between"", [""2023-06-01"", ""2024-06-30""})",86,Medium,Find all Task records placed between 2023-06-01 and 2024-06-30 (both inclusive).
"Retrieve the first 20 Stock Entry records where status is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""status"": ""Supervisor""}, fields=[""priority"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",163,Complex,"Can you fetch the first 20 Stock Entry records where status is Supervisor, sorted by priority in descending order, starting from the 10th record."
"Retrieve a list of all Expense Claim records where subject is Pending, fetching status and status, sorted by status in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Pending""}, fields=[""status"", ""status""], order_by=""status desc"")",117,Medium,"Can you fetch a list of all Expense Claim records where subject is Pending, fetching status and status, sorted by status in descending order."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get a list of all Budget Plan records.,"frappe.get_list(""Budget Plan"", fields=[""name""])",47,Simple,Can you list all Budget Plan records.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get a list of all Employee Wellness records.,"frappe.get_list(""Employee Wellness"", fields=[""name""])",53,Simple,Can you list all Employee Wellness records.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Purchase Order records where transaction_date is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""transaction_date"": ""Lead""}, fields=[""status"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",164,Complex,"Can you fetch the first 20 Purchase Order records where transaction_date is Lead, sorted by status in descending order, starting from the 10th record."
Get a list of all Expense Approval records.,"frappe.get_list(""Expense Approval"", fields=[""name""])",52,Simple,Can you list all Expense Approval records.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Find all Task records where subject contains Director.,"frappe.get_list(""Task"", filters={""subject"": [""like"", ""%Director%""]})",68,Medium,Find all Task records where subject contains Director.
Get a list of all Employee records without filters.,"frappe.get_list(""Employee"")",27,Simple,Can you list all Employee records without filters.
Find all Purchase Order records placed between 2024-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""priority"", ""between"", [""2024-01-01"", ""2023-03-31""})",96,Medium,Find all Purchase Order records placed between 2024-01-01 and 2023-03-31 (both inclusive).
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
"Retrieve the first 20 Purchase Order records where count is Manager, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""count"": ""Manager""}, fields=[""status"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",160,Complex,"Can you fetch the first 20 Purchase Order records where count is Manager, sorted by priority in descending order, starting from the 10th record."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Find all Task records placed between 2022-04-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Task"", filters={[""status"", ""between"", [""2022-04-01"", ""2024-06-30""})",84,Medium,Find all Task records placed between 2022-04-01 and 2024-06-30 (both inclusive).
"Retrieve a list of all Issue records where subject is Open, fetching creation and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Issue"", filters={""subject"": ""Open""}, fields=[""creation"", ""date_submitted""], order_by=""date_submitted desc"")",124,Complex,"Can you fetch a list of all Issue records where subject is Open, fetching creation and date_submitted, sorted by date_submitted in descending order."
Find all Employee records placed between 2023-06-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""transaction_date"", ""between"", [""2023-06-01"", ""2024-12-31""})",98,Medium,Find all Employee records placed between 2023-06-01 and 2024-12-31 (both inclusive).
Find all Sales Order records placed between 2022-04-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""count"", ""between"", [""2022-04-01"", ""2024-06-30""})",90,Medium,Find all Sales Order records placed between 2022-04-01 and 2024-06-30 (both inclusive).
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Stock Entry records where count is Director, sorted by designation in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""count"": ""Director""}, fields=[""status"", ""designation""], order_by=""designation desc"", start=10, page_length=20, as_list=True)",164,Complex,"Can you fetch the first 20 Stock Entry records where count is Director, sorted by designation in descending order, starting from the 10th record."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
